url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,"Star Trek: Nemesis",movie,"Action, Adventure, Sci-Fi",2002,tt0253754,6.4,84930,"AG, BB, BS, HN, NI, TT"
,"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,121769,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
,"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,68023,"AG, BB, BS, HN, NI, TT, US"
,"North by Northwest",movie,"Action, Adventure, Mystery",1959,tt0053125,8.3,351870,"BE, BZ, DO, EC, FR, JM, LC, MC, PY, TC, VE"
,"Saw III",movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,216977,US
,"Saw II",movie,"Horror, Mystery",2005,tt0432348,6.6,282297,US
,"Ali: Fear Eats the Soul",movie,"Drama, Romance",1974,tt0071141,8,24456,"AG, BB, BS, HN, NI, RS, TT, US"
,"East of Eden",movie,Drama,1955,tt0048028,7.8,49513,"BE, FR, MC"
,"Rebel Without a Cause",movie,Drama,1955,tt0048545,7.6,99318,"BE, BZ, DO, EC, FR, JM, LC, MC, PY, TC, VE"
,"Berlin: Symphony of Metropolis",movie,Documentary,1927,tt0017668,7.6,4871,"AG, BB, BS, HN, NI, TT, US"
,"Bride of Frankenstein",movie,"Drama, Horror, Sci-Fi",1935,tt0026138,7.8,54629,"AR, BO, CL, CO, CR, GT, MX, PE, SV, UY"
,Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,135377,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
,"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2060807,ES
,"Some Like It Hot",movie,"Comedy, Music, Romance",1959,tt0053291,8.2,288055,"AG, BB, BS, NI, TT"
,"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1392354,ES
,"Natural Born Killers",movie,"Action, Crime, Romance",1994,tt0110632,7.2,256014,"AG, BS, TT"
,"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,431068,ES
,"King Kong",movie,"Adventure, Horror",1933,tt0024216,7.9,92440,"AG, BB, BS, BZ, DO, EC, HN, JM, LC, NI, PY, RS, TC, TT, VE"
,Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,241320,"AG, BB, BS, NI, TT"
,"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,232159,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
,"Live and Let Die",movie,"Action, Adventure, Thriller",1973,tt0070328,6.7,117381,"AG, BB, BS, NI, TT"
,"The 39 Steps",movie,"Crime, Mystery, Thriller",1935,tt0026029,7.6,62646,"AG, BB, BS, HN, NI, TT, US"
,Batman,movie,"Action, Adventure",1989,tt0096895,7.5,412437,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
,Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,89493,"AG, BB, BS, HN, NI, TT, US"
,"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1609640,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
,"The Silence of the Lambs",movie,"Crime, Drama, Thriller",1991,tt0102926,8.6,1586470,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
